Name (Institution or Individual),Startups,Investment Lists,Company (from Associated Startups),Startup Count,Investor Type,Contacts,Name (from Contacts),LinkedIn Profile,Notes
National Science Foundation (NSF),"recxa8Osr3LR5dVPJ, rec1hrXgdMxRL0oqE, recDMBQvsiItc5sMu, recRZ0XMSHOnlgKnc, recUBVrVX9YykFDiq, recXZJPY5pSC8Lq2x, reckOTocvgb6BTjQS","Design Intelligence (CAD), Knowledge Engineering (R&D, Learning), Extreme Analysis (CAE, CFD, FEA, QC), Design Intelligence (CAD), Extreme Analysis (CAE, CFD, FEA, QC), Knowledge Engineering (R&D, Learning), Extreme Analysis (CAE, CFD, FEA, QC)","Novineer, polySpectra (neThing.xyz), Boltline, Plasticity, Intact Solutions, Parallel Fluidics, Flexcompute",7,Institutional Investors,,,,
General Catalyst,"recwnMUFBvpaFSO0t, recGHV6f1YX5YrTQI, recoKutiNSGJYL1xU, rec30mNzF0ceoy5A2, reccyqLGDAvuXeV2X, recnx8rj5zVg2ZXSb","Design Intelligence (CAD), Factory Futures (MES, IIOT), Augmented Operations (MOM, CMMS, AR/VR, SLM), Extreme Analysis (CAE, CFD, FEA, QC), Factory Futures (MES, IIOT), Extreme Analysis (CAE, CFD, FEA, QC)","Spectral Labs, EthonAI, Tractian, PhysicsX, Nominal, JuliaHub",6,Individual,recn1A9QV5vZQzz2A,Hemant Taneja,,
Eclipse Ventures,"recleLXYV3KP12GWX, recYo1lWfrlr1SZ7X, recBbSGCtj8lyjwf0, rec9GKWVbp7wSHbtC, recDNX26owo9fx47E, recPtuslHLjrGptZe","SW+HW=Innovation (Robotics, Drones), SW+HW=Innovation (Robotics, Drones), Augmented Operations (MOM, CMMS, AR/VR, SLM), Extreme Analysis (CAE, CFD, FEA, QC), Bleeding Edge BIM (AEC/BIM), SW+HW=Innovation (Robotics, Drones)","Augury, Bright Machines, Instrumental, Vinci 4D, Augmenta, Foxglove",6,VC Fund,recPqg6FIY50oivKy,Lior Susan,,
Founders Fund,"rec7d0FvjP1gyjPSG, rec8MkEa7UfvpkhtN, recX8LzxoDPvh3Ul9, reckp7Hbr8KY6qt02, reccyqLGDAvuXeV2X, rec1pUFTPxpd8w2kn","Factory Futures (MES, IIOT), Bleeding Edge BIM (AEC/BIM), SW+HW=Innovation (Robotics, Drones), Factory Futures (MES, IIOT), Factory Futures (MES, IIOT), Design Intelligence (CAD)","Dirac, Giraffe, Built Robotics, Hadrian, Nominal, Arena",6,Institutional Investors,,,,
Lightspeed Venture Partners,"recGQxKxcbMz6sG3q, recdAkJS5ou96QoCb, reckz5OAZf3rKWGP2, recwqVPVGXleIjo9f, recNK7moRUKHh8XUp, reccyqLGDAvuXeV2X","Knowledge Engineering (R&D, Learning), Cognitive Thread (PLM, MBSE, DT), Factory Futures (MES, IIOT), Augmented Operations (MOM, CMMS, AR/VR, SLM), Bleeding Edge BIM (AEC/BIM), Factory Futures (MES, IIOT)","Kalam Labs, Cusp AI, Smartex.ai, Aquant, BuilDOTS, Nominal",6,VC Fund,,,,
Index Ventures,"recDpD1uGLbEiCM8j, recF3gi4Tl5wsPh7K, recGHV6f1YX5YrTQI, recgtYbvWcNza9KG5, recHNAT8a8hoa1919, recqer84LiRhGjKzO","Design Intelligence (CAD), Factory Futures (MES, IIOT), Factory Futures (MES, IIOT), Design Intelligence (CAD), Augmented Operations (MOM, CMMS, AR/VR, SLM), Factory Futures (MES, IIOT)","Vizcom, Covariant (acquired by Amazon Robotics in 2024), EthonAI, Quilter, Phaidra, Revel",6,VC Fund,,,,
Data Collective (DCVC),"recI2fwxWSPbBTVQZ, recdyBD0xEfMJTdFw, reckz5OAZf3rKWGP2, recxhL1LwIanxkUbp, reczjzXYBgUGpdPXn, recG0V8gg3wGEf4mV","Extreme Analysis (CAE, CFD, FEA, QC), SW+HW=Innovation (Robotics, Drones), Factory Futures (MES, IIOT), Design Intelligence (CAD), Cognitive Thread (PLM, MBSE, DT), Adaptive Manufacturing (AM, CAM, CNC)","Rescale, Lumafield, Smartex.ai, nTop, Citrine Informatics, Desktop Metal (acquired by Nano Dimension in 2025)",6,Individual,,,,
Momenta Ventures,"recWwgNKFTLztkKlf, recgq4Vry0fK1ip3p, recWlsfk4NFkADxhz, reckz5OAZf3rKWGP2, recOIFJQqwBMz02qx, recybbkQLXwHFtvd8","Factory Futures (MES, IIOT), Factory Futures (MES, IIOT), Factory Futures (MES, IIOT), Factory Futures (MES, IIOT), Factory Futures (MES, IIOT), Factory Futures (MES, IIOT)","Pico MES, AMESA (formerly Composabl), HighByte, Smartex.ai, MatAlytics, APERIO",6,Institutional Investors,recKKxJmSRuqPRMoF,Arinderpal (Hans) Hanspal,,
BMW iVentures,"recG0V8gg3wGEf4mV, recI8NXqAAZguDIaT, recYo1lWfrlr1SZ7X, rectuKApvYcNtWZHa, reco92rfqorVz9zCO, recdQm1UQsHkz0aXZ","Adaptive Manufacturing (AM, CAM, CNC), Extreme Analysis (CAE, CFD, FEA, QC), SW+HW=Innovation (Robotics, Drones), Factory Futures (MES, IIOT), Bleeding Edge BIM (AEC/BIM), Extreme Analysis (CAE, CFD, FEA, QC)","Desktop Metal (acquired by Nano Dimension in 2025), Synera, Bright Machines, Carbon, Madaster Germany Gmbh, Simr (formerly UberCloud)",6,,,,,
BDC Venture Capital,"recuv6DgeXnWlbges, recZ86YHSbyTc91Fk, rec43erivpBpiwNTy, recl2sHNH1iBtTW8J, recudGZZRYAu3P70o, recDNX26owo9fx47E","SW+HW=Innovation (Robotics, Drones), SW+HW=Innovation (Robotics, Drones), Factory Futures (MES, IIOT), Factory Futures (MES, IIOT), Bleeding Edge BIM (AEC/BIM), Bleeding Edge BIM (AEC/BIM)","Vention, AON3D, Canvass AI, Acerta, BIM Track (acquired by Newforma in 2021), Augmenta",6,Individual,,,,
EQT Ventures,"recGqfKFU0Lpu4DLB, recKn3ULj44D3i5Cz, recl2sHNH1iBtTW8J, recpaCa3QbaOvQTN2, recvohT18FH4InPy9, recWIgX4pRfjtmpgt","Design Intelligence (CAD), Cognitive Thread (PLM, MBSE, DT), Factory Futures (MES, IIOT), Design Intelligence (CAD), Knowledge Engineering (R&D, Learning), Adaptive Manufacturing (AM, CAM, CNC)","Vectary, Flow Engineering, Acerta, Generative Vision, Sana (acquired by Workday in 2025), Generative Engineering",6,,,,,
SE Ventures (Schneider Electric Ventures),"rec154SwmlecINzLT, recWwgNKFTLztkKlf, recYWPA4sXO0x7o5B, recqsUpkI4gSmuy8v, recleLXYV3KP12GWX","Cognitive Thread (PLM, MBSE, DT), Factory Futures (MES, IIOT), Bleeding Edge BIM (AEC/BIM), Cognitive Thread (PLM, MBSE, DT), SW+HW=Innovation (Robotics, Drones)","Uncountable, Pico MES, Sense, Makersite Gmbh, Augury",5,VC Fund,,,,
Temasek,"rec30mNzF0ceoy5A2, recF3gi4Tl5wsPh7K, recdAkJS5ou96QoCb, rectuKApvYcNtWZHa, rec9GKWVbp7wSHbtC","Extreme Analysis (CAE, CFD, FEA, QC), Factory Futures (MES, IIOT), Cognitive Thread (PLM, MBSE, DT), Factory Futures (MES, IIOT), Extreme Analysis (CAE, CFD, FEA, QC)","PhysicsX, Covariant (acquired by Amazon Robotics in 2024), Cusp AI, Carbon, Vinci 4D",5,Institutional Investors,,,,
LocalGlobe,"rec8Km9DgdcmOLX2p, recECmN5614at2OU6, recdAkJS5ou96QoCb, rechkMUSJkV5O8ghn, recizUovXfTjYfsqS","Design Intelligence (CAD), Factory Futures (MES, IIOT), Cognitive Thread (PLM, MBSE, DT), Bleeding Edge BIM (AEC/BIM), Factory Futures (MES, IIOT)","Morphorm, Opti-Technologies, Cusp AI, Arcol, Guidewheel",5,Institutional Investors,,,,
Pioneer Fund,"rec7iz5x0Pfosvl4l, recGQxKxcbMz6sG3q, recVBqaNkXtojSij5, recXnPYUVun4MOI0k, recjuF67BCPrAXWap","Design Intelligence (CAD), Knowledge Engineering (R&D, Learning), Bleeding Edge BIM (AEC/BIM), Streamlined Supply Chain (SCM), Factory Futures (MES, IIOT)","Adam, Kalam Labs, Kaedim, CoFactr, Epsilon3",5,Institutional Investors,,,,
Creative Destruction Lab,"rec8lfVfM13eGFRYt, recRwDJwYwaNfdNY9, rechYCA6ybDSWGhHd, recoO0kvuvrgbl7fX, recdeNKND9WsMZHU1","Cognitive Thread (PLM, MBSE, DT), Cognitive Thread (PLM, MBSE, DT), Adaptive Manufacturing (AM, CAM, CNC), Adaptive Manufacturing (AM, CAM, CNC), Factory Futures (MES, IIOT)","CoLab, SysGit, Lambda Function, 1000 Kelvin, Automation Intelligence",5,Individual,,,,
Earlybird Venture Capital,"recGHV6f1YX5YrTQI, recL43YEluUQiUjKs, reck7PzLjJhciQpJX, recu745gphuOWYDv3, recdQm1UQsHkz0aXZ","Factory Futures (MES, IIOT), Cognitive Thread (PLM, MBSE, DT), Extreme Analysis (CAE, CFD, FEA, QC), Factory Futures (MES, IIOT), Extreme Analysis (CAE, CFD, FEA, QC)","EthonAI, CELUS, SimScale, Visometry, Simr (formerly UberCloud)",5,VC Fund,,,,
Cherry Ventures,"recI8NXqAAZguDIaT, recSAGzsrJ3WSuoH0, recU4GQXc6B9r4z4w, recaUTMeWzATmUEaS, recpYKOfcRlHDINGI","Extreme Analysis (CAE, CFD, FEA, QC), Augmented Operations (MOM, CMMS, AR/VR, SLM), Cognitive Thread (PLM, MBSE, DT), Bleeding Edge BIM (AEC/BIM), Streamlined Supply Chain (SCM)","Synera, Overview AI, trace.space, Plans, Luminovo",5,VC Fund,,,,
Liquid 2 Ventures,"recWIfUxcXUE7K43n, recjtb0uz9MTyuK0I, recmF3dwee6Rf89pN, recDMBQvsiItc5sMu, rechDfDIOtYDlToZa","Extreme Analysis (CAE, CFD, FEA, QC), Design Intelligence (CAD), Design Intelligence (CAD), Extreme Analysis (CAE, CFD, FEA, QC), Design Intelligence (CAD)","NavierAI, Zoo, Hestus, Boltline, JitX",5,VC Fund,,,,
Autodesk,"recaw4HjtF9XdTUlV, reckN5HuDIMT0oNr3, recu69Kt2WXMNiELZ, rectuKApvYcNtWZHa, recZRjLBu8F0psdes","Adaptive Manufacturing (AM, CAM, CNC), Design Intelligence (CAD), Adaptive Manufacturing (AM, CAM, CNC), Factory Futures (MES, IIOT), Design Intelligence (CAD)","CloudNC, Sloyd, Toolpath, Carbon, aPriori",5,Institutional Investors,,,,
Entrepreneurs First,"recaw4HjtF9XdTUlV, recua5w9lxPKzA0vr, recH3blTe0YUS6YT0, recY1w35R3PXfXsjm, recpGekAmxPmQYMFg","Adaptive Manufacturing (AM, CAM, CNC), Design Intelligence (CAD), Factory Futures (MES, IIOT), Extreme Analysis (CAE, CFD, FEA, QC), Adaptive Manufacturing (AM, CAM, CNC)","CloudNC, Hanomi AI, Tellia, Phasio, Toolkit3D",5,Individual,,,,
Plug and Play Tech Center,"rec2ncOTpg6A0sHKF, rec3858RhxkzPlxyn, recGoyQ9xfjzQTH4a, recP5koyD8aQgd6XJ, recjXw5dW1RqIvyyx","Extreme Analysis (CAE, CFD, FEA, QC), Design Intelligence (CAD), Factory Futures (MES, IIOT), Cognitive Thread (PLM, MBSE, DT), Bleeding Edge BIM (AEC/BIM)","KronosAI, MorphoAI, Tulip Interfaces, AI Materia, Track3D",5,,,,,
Carl Bass (angel),"recxhL1LwIanxkUbp, recM90ZDwemYnmoTf, recX8LzxoDPvh3Ul9, recr9Vc8Yrgd2HlJv, recu69Kt2WXMNiELZ","Design Intelligence (CAD), Adaptive Manufacturing (AM, CAM, CNC), SW+HW=Innovation (Robotics, Drones), Design Intelligence (CAD), Adaptive Manufacturing (AM, CAM, CNC)","nTop, Dyndrite, Built Robotics, InfinitForm, Toolpath",5,,,,,
High‑Tech Gründerfonds (HTGF),"recb3FOUsHyc9vwFh, recb5KSNUNc1KsU26, recq610lsAIpfbkVs, reck7PzLjJhciQpJX, recu745gphuOWYDv3","Design Intelligence (CAD), Bleeding Edge BIM (AEC/BIM), Extreme Analysis (CAE, CFD, FEA, QC), Extreme Analysis (CAE, CFD, FEA, QC), Factory Futures (MES, IIOT)","Threedy, Sablono, Neural Concept, SimScale, Visometry",5,,,,,
Jump Capital,"recwnMUFBvpaFSO0t, recH1QeSuLuNioBVb, recI2fwxWSPbBTVQZ, recybbkQLXwHFtvd8","Design Intelligence (CAD), Factory Futures (MES, IIOT), Extreme Analysis (CAE, CFD, FEA, QC), Factory Futures (MES, IIOT)","Spectral Labs, Sight Machine, Rescale, APERIO",4,Institutional Investors,,,,
Bessemer Venture Partners,"recuADye15JvSTfls, rec3sd3177dRW6TWr, recN2yJRBKZFx3nV8, recPtuslHLjrGptZe","Augmented Operations (MOM, CMMS, AR/VR, SLM), Design Intelligence (CAD), Factory Futures (MES, IIOT), SW+HW=Innovation (Robotics, Drones)","MaintainX, ChipAgents, Portainer.io, Foxglove",4,VC Fund,,,,
US Department of Energy,"rec1hrXgdMxRL0oqE, recQyC01VNanWsPfv, recJfs7HcRGVNX6gl, recUBVrVX9YykFDiq","Knowledge Engineering (R&D, Learning), Factory Futures (MES, IIOT), Extreme Analysis (CAE, CFD, FEA, QC), Extreme Analysis (CAE, CFD, FEA, QC)","polySpectra (neThing.xyz), Authentise, CoreForm, Intact Solutions",4,Individual,,,,
Prelude Ventures,"rec1hrXgdMxRL0oqE, recYWPA4sXO0x7o5B, reczjzXYBgUGpdPXn, recDNX26owo9fx47E","Knowledge Engineering (R&D, Learning), Bleeding Edge BIM (AEC/BIM), Cognitive Thread (PLM, MBSE, DT), Bleeding Edge BIM (AEC/BIM)","polySpectra (neThing.xyz), Sense, Citrine Informatics, Augmenta",4,VC Fund,,,,
Congruent Ventures,"rec1hrXgdMxRL0oqE, recRtWQzDsbczClOl, recS7EiBi50k6R3ZB, recWwgNKFTLztkKlf","Knowledge Engineering (R&D, Learning), SW+HW=Innovation (Robotics, Drones), SW+HW=Innovation (Robotics, Drones), Factory Futures (MES, IIOT)","polySpectra (neThing.xyz), Alloy Enterprises, Machina Labs, Pico MES",4,VC Fund,,,,
Radical Ventures,"rec4Ixgf8O1b6mlk4, recF3gi4Tl5wsPh7K, recl2sHNH1iBtTW8J, recmqKqvPHtbFmdwh","Streamlined Supply Chain (SCM), Factory Futures (MES, IIOT), Factory Futures (MES, IIOT), Design Intelligence (CAD)","Poka Labs, Covariant (acquired by Amazon Robotics in 2024), Acerta, P-1 AI",4,VC Fund,,,,
Intel Capital,"rec5nixfNkgLmUi8W, recVE5W6nsf7RqHqK, recVy9LhoGyNIYsAO, reccCzt75eapLDkpI","Design Intelligence (CAD), SW+HW=Innovation (Robotics, Drones), Augmented Operations (MOM, CMMS, AR/VR, SLM), Extreme Analysis (CAE, CFD, FEA, QC)","Common Sense Machines, Mech-Mind Robotics, LandingAI, OnScale (aquired by ANSYS in 2022)",4,Institutional Investors,,,,
"Founders, Inc.","rec7inutMVTTqVN90, recFsmUzae6aA6blG, reco8MriB9sqzRFXC, rectuKApvYcNtWZHa","Design Intelligence (CAD), Design Intelligence (CAD), Adaptive Manufacturing (AM, CAM, CNC), Factory Futures (MES, IIOT)","MecAgent, Womp, Axial Composites, Carbon",4,Institutional Investors,,,,
FJ Labs,"rec8Km9DgdcmOLX2p, recKIkbCIk4cyBuz7, recMTewdnv14V4xxC, recdAkJS5ou96QoCb","Design Intelligence (CAD), SW+HW=Innovation (Robotics, Drones), Augmented Operations (MOM, CMMS, AR/VR, SLM), Cognitive Thread (PLM, MBSE, DT)","Morphorm, Formic, ControlRooms.ai, Cusp AI",4,Individual,,,,
Menlo Ventures,"rec9p9EqFFPkfr4he, recvohT18FH4InPy9, recTjnVK1MRM54KBf, recnx8rj5zVg2ZXSb","Bleeding Edge BIM (AEC/BIM), Knowledge Engineering (R&D, Learning), Factory Futures (MES, IIOT), Extreme Analysis (CAE, CFD, FEA, QC)","OpenSpace, Sana (acquired by Workday in 2025), Squint, JuliaHub",4,VC Fund,,,,
Root Ventures,"recBbSGCtj8lyjwf0, recPPOzMr1dAojMoq, recf96EDF5e5xTQ3y, recxhL1LwIanxkUbp","Augmented Operations (MOM, CMMS, AR/VR, SLM), Cognitive Thread (PLM, MBSE, DT), SW+HW=Innovation (Robotics, Drones), Design Intelligence (CAD)","Instrumental, Allspice.io, Dusty Robotics, nTop",4,VC Fund,,,,
Pritzker Group Venture Capital,"recAP3AgCUIyDBtQB, recH1QeSuLuNioBVb, recleLXYV3KP12GWX, reciK5FjRB9MBXgpY","Factory Futures (MES, IIOT), Factory Futures (MES, IIOT), SW+HW=Innovation (Robotics, Drones), Streamlined Supply Chain (SCM)","Augmentir, Sight Machine, Augury, SpecRight",4,VC Fund,,,,
Haystack,"recFsmUzae6aA6blG, recRwDJwYwaNfdNY9, recxhL1LwIanxkUbp, reccyqLGDAvuXeV2X","Design Intelligence (CAD), Cognitive Thread (PLM, MBSE, DT), Design Intelligence (CAD), Factory Futures (MES, IIOT)","Womp, SysGit, nTop, Nominal",4,Institutional Investors,,,,
GV (formerly Google Ventures),"recG0V8gg3wGEf4mV, recbpJYXobrrvTmDu, recSAGzsrJ3WSuoH0, recrGwy3PNhENjO8M","Adaptive Manufacturing (AM, CAM, CNC), Design Intelligence (CAD), Augmented Operations (MOM, CMMS, AR/VR, SLM), Design Intelligence (CAD)","Desktop Metal (acquired by Nano Dimension in 2025), Gravity Sketch, Overview AI, Physna",4,VC Fund,,,,
Spark Capital,"recDMBQvsiItc5sMu, recI8NXqAAZguDIaT, recdyBD0xEfMJTdFw, recufklfXbeaX96o0","Extreme Analysis (CAE, CFD, FEA, QC), Extreme Analysis (CAE, CFD, FEA, QC), SW+HW=Innovation (Robotics, Drones), Bleeding Edge BIM (AEC/BIM)","Boltline, Synera, Lumafield, Higharc",4,Institutional Investors,,,,
M12,"recI2fwxWSPbBTVQZ, recufklfXbeaX96o0, recl2sHNH1iBtTW8J, recvTZMETI2QaCr2N","Extreme Analysis (CAE, CFD, FEA, QC), Bleeding Edge BIM (AEC/BIM), Factory Futures (MES, IIOT), Factory Futures (MES, IIOT)","Rescale, Higharc, Acerta, etalytics",4,Institutional Investors,,,,
Tiger Global,"recQoXmyNVs9mxBao, recX8LzxoDPvh3Ul9, recxhL1LwIanxkUbp, recrGwy3PNhENjO8M","Factory Futures (MES, IIOT), SW+HW=Innovation (Robotics, Drones), Design Intelligence (CAD), Design Intelligence (CAD)","Laminar, Built Robotics, nTop, Physna",4,Individual,,,,
Speedinvest,"recL43YEluUQiUjKs, recd4D9BVpunqKhpw, recmTm2ReTxcWAB6r, recnkbO0g9K3v5d9w","Cognitive Thread (PLM, MBSE, DT), Design Intelligence (CAD), SW+HW=Innovation (Robotics, Drones), Extreme Analysis (CAE, CFD, FEA, QC)","CELUS, Shapr3D, ARX Robotics, Emmi AI",4,Institutional Investors,,,,
HV Capital,"recY5fsh3fqYPfjxf, recjwDy31J7nAeSs1, recmTm2ReTxcWAB6r, reco6wEFBFz2tuU1d","Cognitive Thread (PLM, MBSE, DT), Factory Futures (MES, IIOT), SW+HW=Innovation (Robotics, Drones), Design Intelligence (CAD)","SPREAD, Cybus, ARX Robotics, Hyperganic",4,Institutional Investors,,,,
Bain Capital Ventures,"recXnPYUVun4MOI0k, recuADye15JvSTfls, recuH7CHKjYxM4zdS, recuv6DgeXnWlbges","Streamlined Supply Chain (SCM), Augmented Operations (MOM, CMMS, AR/VR, SLM), Design Intelligence (CAD), SW+HW=Innovation (Robotics, Drones)","CoFactr, MaintainX, Bench, Vention",4,VC Fund,recXBUalVjjHRB3qw,Daan Kakebeeke,https://www.linkedin.com/in/daankakebeeke/,Daan Kakebeeke
Lockheed Martin Ventures,"recS7EiBi50k6R3ZB, recRtWQzDsbczClOl, recaw4HjtF9XdTUlV, recxhL1LwIanxkUbp","SW+HW=Innovation (Robotics, Drones), SW+HW=Innovation (Robotics, Drones), Adaptive Manufacturing (AM, CAM, CNC), Design Intelligence (CAD)","Machina Labs, Alloy Enterprises, CloudNC, nTop",4,Individual,,,,
Schematic Ventures,"recj4CwVSC3ZrbjMy, recr9Vc8Yrgd2HlJv, rec3pSBeGF0DFKOEw, recmqKqvPHtbFmdwh","Extreme Analysis (CAE, CFD, FEA, QC), Design Intelligence (CAD), Augmented Operations (MOM, CMMS, AR/VR, SLM), Design Intelligence (CAD)","CognaSIM, InfinitForm, CVector, P-1 AI",4,VC Fund,,,,
MaC Venture Capital,"recjuF67BCPrAXWap, recxMbAOcj1YGb7ss, recDm89yd7CSnFCGW, recDMBQvsiItc5sMu","Factory Futures (MES, IIOT), SW+HW=Innovation (Robotics, Drones), Cognitive Thread (PLM, MBSE, DT), Extreme Analysis (CAE, CFD, FEA, QC)","Epsilon3, Atomic Industries, Violet Labs, Boltline",4,Individual,,,,
Inc.,"rec7inutMVTTqVN90, recFsmUzae6aA6blG, reco8MriB9sqzRFXC, rectuKApvYcNtWZHa","Design Intelligence (CAD), Design Intelligence (CAD), Adaptive Manufacturing (AM, CAM, CNC), Factory Futures (MES, IIOT)","MecAgent, Womp, Axial Composites, Carbon",4,,,,,
Siemens,"recqgqryuLUMFTehz, rec30mNzF0ceoy5A2, recM90ZDwemYnmoTf","Factory Futures (MES, IIOT), Extreme Analysis (CAE, CFD, FEA, QC), Adaptive Manufacturing (AM, CAM, CNC)","rhobot.ai, PhysicsX, Dyndrite",3,Institutional Investors,,,,
D. E. Shaw Group,"rec32WwqMZqtdpWzd, recq610lsAIpfbkVs, recuADye15JvSTfls","Extreme Analysis (CAE, CFD, FEA, QC), Extreme Analysis (CAE, CFD, FEA, QC), Augmented Operations (MOM, CMMS, AR/VR, SLM)","Dive CAE, Neural Concept, MaintainX",3,Individual,,,,
Standard Investments,"rec30mNzF0ceoy5A2, recWlsfk4NFkADxhz, rec7Uaw0u7fGkWE91","Extreme Analysis (CAE, CFD, FEA, QC), Factory Futures (MES, IIOT), Factory Futures (MES, IIOT)","PhysicsX, HighByte, Fictiv (Acquired by MISUMI in 2025)",3,Institutional Investors,,,,
Toyota Ventures,"rec5nixfNkgLmUi8W, recDMBQvsiItc5sMu, recxMbAOcj1YGb7ss","Design Intelligence (CAD), Extreme Analysis (CAE, CFD, FEA, QC), SW+HW=Innovation (Robotics, Drones)","Common Sense Machines, Boltline, Atomic Industries",3,VC Fund,,,,
Exposition Ventures,"rec4OaeUERIJ0kgak, recWlsfk4NFkADxhz, recgq4Vry0fK1ip3p","Factory Futures (MES, IIOT), Factory Futures (MES, IIOT), Factory Futures (MES, IIOT)","OpsMate, HighByte, AMESA (formerly Composabl)",3,VC Fund,,,,
8VC,"rec154SwmlecINzLT, recXZJPY5pSC8Lq2x, recxMbAOcj1YGb7ss","Cognitive Thread (PLM, MBSE, DT), Knowledge Engineering (R&D, Learning), SW+HW=Innovation (Robotics, Drones)","Uncountable, Parallel Fluidics, Atomic Industries",3,VC Fund,,,,
Thomas Wolf (Hugging Face),"rec8Km9DgdcmOLX2p, rec7inutMVTTqVN90, recdAkJS5ou96QoCb","Design Intelligence (CAD), Design Intelligence (CAD), Cognitive Thread (PLM, MBSE, DT)","Morphorm, MecAgent, Cusp AI",3,Institutional Investors,,,,
Hoxton Ventures,"rec8MkEa7UfvpkhtN, recJfn3i1mXRpsOYd, recdAkJS5ou96QoCb","Bleeding Edge BIM (AEC/BIM), Bleeding Edge BIM (AEC/BIM), Cognitive Thread (PLM, MBSE, DT)","Giraffe, XYZ Reality, Cusp AI",3,VC Fund,,,,
FundersClub,"rec8lfVfM13eGFRYt, recH1QeSuLuNioBVb, rechDfDIOtYDlToZa","Cognitive Thread (PLM, MBSE, DT), Factory Futures (MES, IIOT), Design Intelligence (CAD)","CoLab, Sight Machine, JitX",3,Institutional Investors,,,,
Spider Capital,"rec8lfVfM13eGFRYt, reckz5OAZf3rKWGP2, recuUkj9F23jdO3WK","Cognitive Thread (PLM, MBSE, DT), Factory Futures (MES, IIOT), Augmented Operations (MOM, CMMS, AR/VR, SLM)","CoLab, Smartex.ai, Imubit",3,Institutional Investors,,,,
Point Nine Capital,"recAGGqJxE2LZGkQ4, recaUTMeWzATmUEaS, recd4D9BVpunqKhpw","Cognitive Thread (PLM, MBSE, DT), Bleeding Edge BIM (AEC/BIM), Design Intelligence (CAD)","Aletiq, Plans, Shapr3D",3,Institutional Investors,,,,
LBBW Venture Capital,"recBnRO6kZvbsuY88, recNVBrzf6uzsOjpz, recb3FOUsHyc9vwFh","Factory Futures (MES, IIOT), Bleeding Edge BIM (AEC/BIM), Design Intelligence (CAD)","3YOURMIND, Specter Automation, Threedy",3,VC Fund,,,,
UVC Partners,"recCfan9HRU5Cl1Z3, recI8NXqAAZguDIaT, recBnRO6kZvbsuY88","Augmented Operations (MOM, CMMS, AR/VR, SLM), Extreme Analysis (CAE, CFD, FEA, QC), Factory Futures (MES, IIOT)","Tanso, Synera, 3YOURMIND",3,VC Fund,,,,
Stage Venture Partners,"recDAhrwASH1Kp6ym, recRwDJwYwaNfdNY9, recjuF67BCPrAXWap","Factory Futures (MES, IIOT), Cognitive Thread (PLM, MBSE, DT), Factory Futures (MES, IIOT)","First Resonance, SysGit, Epsilon3",3,VC Fund,,,,
BPI (Bpifrance),"recAcX5Z3Nvute850, recegdPN1Tz7OLoL4, recftTc0SJcECws9k","Adaptive Manufacturing (AM, CAM, CNC), Cognitive Thread (PLM, MBSE, DT), Cognitive Thread (PLM, MBSE, DT)","SP3D, Cognyx, Dessia",3,Institutional Investors,,,,
Lerer Hippeau,"recAP3AgCUIyDBtQB, recleLXYV3KP12GWX, recmqKqvPHtbFmdwh","Factory Futures (MES, IIOT), SW+HW=Innovation (Robotics, Drones), Design Intelligence (CAD)","Augmentir, Augury, P-1 AI",3,Individual,,,,
BlackRock,"rec9p9EqFFPkfr4he, recYo1lWfrlr1SZ7X, recizUovXfTjYfsqS","Bleeding Edge BIM (AEC/BIM), SW+HW=Innovation (Robotics, Drones), Factory Futures (MES, IIOT)","OpenSpace, Bright Machines, Guidewheel",3,Institutional Investors,,,,
Amazon Web Services,"rec9fXaDmGWIhcUkt, recN5GrpTpcQxBVpu, recDm89yd7CSnFCGW","Cognitive Thread (PLM, MBSE, DT), Bleeding Edge BIM (AEC/BIM), Cognitive Thread (PLM, MBSE, DT)","Matrac, Optimuse, Violet Labs",3,Individual,,,,
Village Global,"recDAhrwASH1Kp6ym, recjuF67BCPrAXWap, recmqKqvPHtbFmdwh","Factory Futures (MES, IIOT), Factory Futures (MES, IIOT), Design Intelligence (CAD)","First Resonance, Epsilon3, P-1 AI",3,Individual,,,,
Flybridge Capital Partners,"recB3ypVxHUQg6ft7, recRtWQzDsbczClOl, recPPOzMr1dAojMoq","Augmented Operations (MOM, CMMS, AR/VR, SLM), SW+HW=Innovation (Robotics, Drones), Cognitive Thread (PLM, MBSE, DT)","Nextmv, Alloy Enterprises, Allspice.io",3,Institutional Investors,,,,
Riot Ventures,"recG0V8gg3wGEf4mV, recRtWQzDsbczClOl, recm5RaTYVFeRTLWN","Adaptive Manufacturing (AM, CAM, CNC), SW+HW=Innovation (Robotics, Drones), Cognitive Thread (PLM, MBSE, DT)","Desktop Metal (acquired by Nano Dimension in 2025), Alloy Enterprises, Duro (acquired by Altium 2025)",3,VC Fund,,,,
Point72 Ventures,"recDMBQvsiItc5sMu, recKSy56EkCsVlWk5, recxMbAOcj1YGb7ss","Extreme Analysis (CAE, CFD, FEA, QC), Bleeding Edge BIM (AEC/BIM), SW+HW=Innovation (Robotics, Drones)","Boltline, Swapp, Atomic Industries",3,VC Fund,,,,
