Name (Institution or Individual),Startups,Startup Count,Investment Lists,LinkedIn Profile,Email,Notes,Contacts,Investor Type
Fark Labs and individual investors,MaestroHub,1,"""Factory Futures (MES, IIOT)""",,,,,
CapitalG,Motif,1,Bleeding Edge BIM (AEC/BIM),,,,,
Angel: Shlomo Kramer,Opti-Technologies,1,"""Factory Futures (MES, IIOT)""",,,,,
United Ventures,Electra Vehicles,1,"""SW+HW=Innovation (Robotics, Drones)""",,,,,
AltVentures,Portainer.io,1,"""Factory Futures (MES, IIOT)""",,,,,
LONDON BOROUGH OF HAMMERSMITH AND FULHAM,Planarific,1,Bleeding Edge BIM (AEC/BIM),,,,,
Angels and small AI-focused funds,Avathon,1,Design Intelligence (CAD),,,,,
Honeywell,Fictiv (Acquired by MISUMI in 2025),1,"""Factory Futures (MES, IIOT)""",,,,,
New Zealand Growth Capital Partners,Portainer.io,1,"""Factory Futures (MES, IIOT)""",,,,,
exploring institutional VCs,Fabriom,1,Streamlined Supply Chain (SCM),,,,,
and select Austin-based engineering angels.,CAD as Code,1,Design Intelligence (CAD),,,,,
Angels (selected): Durk Kingma (OpenAI co‑founder),Morphorm,1,Design Intelligence (CAD),,,,,
Block.one,AnyLog,1,"""Factory Futures (MES, IIOT)""",,,,,
StartupLab and angel network indications,AnkerDB,1,Bleeding Edge BIM (AEC/BIM),,,,,
Likely angel / pre-seed,Ballista Labs,1,"""Extreme Analysis (CAE, CFD, FEA, QC)""",,,,,
Sonae Investment Management,Portainer.io,1,"""Factory Futures (MES, IIOT)""",,,,,
Saudi Aramco,Desktop Metal (acquired by Nano Dimension in 2025),1,"""Adaptive Manufacturing (AM, CAM, CNC)""",,,,,
Tetha Crypto,AnyLog,1,"""Factory Futures (MES, IIOT)""",,,,,
Kvanted,Samp,1,"""Factory Futures (MES, IIOT)""",,,,,
Stellantis Ventures and others,Electra Vehicles,1,"""SW+HW=Innovation (Robotics, Drones)""",,,,,
Teradyne Tola Capital Hyperplane Venture Capital Ridgeline Ventures Long River Ventures Mass Ventures Hub Angels Firebolt Ventures,MachineMetrics,1,"""Factory Futures (MES, IIOT)""",,,,,
TATA STEEL UK LIMITED,Planarific,1,Bleeding Edge BIM (AEC/BIM),,,,,
Helena,Phaidra,1,"""Augmented Operations (MOM, CMMS, AR/VR, SLM)""",,,,,
Hitachi,Rescale,1,"""Extreme Analysis (CAE, CFD, FEA, QC)""",,,,,
LUX,OpenSpace,1,Bleeding Edge BIM (AEC/BIM),,,,,
German Angels,United Manufacturing Hub (UMH),1,"""Factory Futures (MES, IIOT)""",,,,,
Laurent Fiard (PDG,Fabera,1,"""Factory Futures (MES, IIOT)""",,,,,
Mozilla Ventures,juna.ai,1,"""Augmented Operations (MOM, CMMS, AR/VR, SLM)""",,,,,
Karista,Fuzzy Logic Robotics,1,"""SW+HW=Innovation (Robotics, Drones)""",,,,,
Angel network Germany,Struck,1,"""Factory Futures (MES, IIOT)""",,,,,
2100VC,Saeki,1,"""SW+HW=Innovation (Robotics, Drones)""",,,,,
Soundproof Ventures,APERIO,1,"""Factory Futures (MES, IIOT)""",,,,,
